Src IP,Src Port,Dst IP,Dst Port,Flow Duration,Total Packets,Total Bytes,Packets per Second,Bytes per Second
192.168.1.15,60339,74.125.206.188,443,0.083437,2,121,23.97018109471817059577885111,1450.195956230449321044620492
192.168.1.15,60339,74.125.206.188,443,0.062602,2,121,31.94786109069997763649723651,1932.845595987348647008082809
192.168.1.15,60339,74.125.206.188,443,0.086207,2,121,23.19997216003340795991044811,1403.598315682021181574582111
192.168.1.15,49761,199.232.210.248,443,0.048817,2,125,40.96933445316180838642276256,2560.583403322613024151422660
192.168.1.15,49761,199.232.210.248,443,0.048802,2,125,40.98192697020613909266013688,2561.370435637883693291258555
192.168.1.15,49761,199.232.210.248,443,0.052390,5,306,95.43806069860660431380034358,5840.809314754724184004581027
192.168.1.15,53017,35.186.224.24,443,0.046587,2,121,42.93043123618176744585399360,2597.291089788996930474166613
192.168.1.15,53017,35.186.224.24,443,0.248172,5,283,20.14731718324387924503973051,1140.338152571603565269248747
192.168.1.15,53524,35.186.224.24,443,0.059724,2,125,33.48737525952715826133547653,2092.960953720447391333467283
192.168.1.15,53524,35.186.224.24,443,0.080115,5,291,62.41028521500343256568682519,3632.278599513199775322973226
192.168.1.15,51956,199.232.210.250,443,0.049724,2,125,40.22202558120826964845949642,2513.876598825516853028718526
192.168.1.15,51956,199.232.210.250,443,0.050891,2,125,39.29967970761038297537875066,2456.229981725648935961171916
192.168.1.15,51956,199.232.210.250,443,0.050523,2,125,39.58593116006571264572570908,2474.120697504107040357856818
192.168.1.15,51956,199.232.210.250,443,0.052683,2,125,37.96291023669874532581667711,2372.681889793671582863542319
192.168.1.15,51956,199.232.210.250,443,0.053264,2,125,37.54881345749474316611595074,2346.800841093421447882246921
192.168.1.15,51956,199.232.210.250,443,0.353465,9,589,25.46220983690040032252132460,1666.360177103815087773895577
151.101.2.250,443,192.168.1.15,54469,0.048292,2,125,41.41472707694856290897042988,2588.420442309285181810651868
151.101.2.250,443,192.168.1.15,54469,0.048815,2,125,40.97101300829663013418006760,2560.688313018539383386254225
151.101.2.250,443,192.168.1.15,54469,0.049147,2,125,40.69424379921460109467515820,2543.390237450912568417197387
151.101.2.250,443,192.168.1.15,54469,0.050151,2,125,39.87956371757292975214851150,2492.472732348308109509281968
151.101.2.250,443,192.168.1.15,54469,0.049695,2,125,40.24549753496327598349934601,2515.343595935204748968709126
151.101.2.250,443,192.168.1.15,54469,0.050825,5,357,98.37678307919331037875061485,7024.102311854402361042793901
192.168.1.15,65397,35.186.224.26,443,0.045364,2,121,44.08782294330305969491226523,2667.313288069835111542192047
192.168.1.15,65397,35.186.224.26,443,0.052546,3,162,57.09283294637079891904236288,3083.012979104023141628287596
172.66.1.120,443,192.168.1.15,53296,0.046906,2,136,42.63846842621413038843644736,2899.415852982560866413678421
172.66.1.120,443,192.168.1.15,53296,1,1,55,1.0,55.0
172.66.1.120,443,192.168.1.15,53296,1,1,55,1.0,55.0
172.66.1.120,443,192.168.1.15,53296,0.000202,2,108,9900.990099009900990099009901,534653.4653465346534653465347
192.168.1.15,64628,54.236.120.233,443,0.714489,24,10959,33.59044016073025616909427577,15338.23473839345322321267367
192.168.1.15,64628,54.236.120.233,443,0.137295,2,125,14.56717287592410502931643541,910.4483047452565643322772133
192.168.1.15,64628,54.236.120.233,443,0.137934,6,403,43.49906477010744268998216538,2921.687183725549900677135442
192.168.1.15,65003,20.189.172.76,443,0.845477,16,7614,18.92422857156374448979688389,9005.567271492896909082092121
192.168.1.15,65003,20.189.172.76,443,1,1,54,1.0,54.0
192.168.1.15,65004,20.189.172.76,443,0.941255,17,7666,18.06099303589356763045083426,8144.445447832946438531535025
192.168.1.15,65004,20.189.172.76,443,1,1,54,1.0,54.0
192.168.1.15,50711,35.186.224.26,443,0.228168,11,3603,48.21009081028014445496300971,15790.99610813085095193015673
192.168.1.15,50711,35.186.224.26,443,0.046099,2,121,43.38488904314627215340896766,2624.785787110349465281242543
192.168.1.15,50711,35.186.224.26,443,0.046631,2,121,42.88992301258819240419463447,2594.840342261585640453775385
192.168.1.15,50711,35.186.224.26,443,0.048334,2,121,41.37873960359167459759175736,2503.413746017296313154301320
192.168.1.15,50711,35.186.224.26,443,0.053769,3,162,55.79423087652736707024493667,3012.888467332477821793226580
192.168.1.15,49640,3.175.196.50,443,0.086719,20,6557,230.6299657514500859096622424,75612.03427161291066548276618
192.168.1.15,49640,3.175.196.50,443,0.007620,2,121,262.4671916010498687664041995,15879.26509186351706036745407
192.168.1.15,49640,3.175.196.50,443,0.013597,2,121,147.0912701331175994704714275,8899.021843053614767963521365
192.168.1.15,49640,3.175.196.50,443,0.011328,2,121,176.5536723163841807909604520,10681.49717514124293785310734
140.82.112.22,443,192.168.1.15,51715,0.701747,27,12997,38.47540495363713703086724988,18520.91993268229148111783877
192.168.1.15,59894,35.186.224.24,443,0.261513,11,3621,42.06291847824008749087043474,13846.34798270066880040380402
192.168.1.15,59894,35.186.224.24,443,0.061293,2,125,32.63015352487233452433393699,2039.384595304520907770871062
192.168.1.15,59894,35.186.224.24,443,0.062778,3,166,47.78744146038421102934148906,2644.238427474593010290229061
150.171.27.11,443,192.168.1.15,51398,0.395391,35,15156,88.51997137011211686659534486,38331.67674529769266371768705
150.171.27.11,443,192.168.1.15,51398,0.009087,2,121,220.0946406954990645977770441,13315.72576207769340816551117
150.171.27.11,443,192.168.1.15,51398,0.007212,2,121,277.3155851358846367165834720,16777.59290072102052135330006
13.107.213.62,443,192.168.1.15,59788,0.083817,67,77012,799.3605115907274180655475620,918811.2196809716405979693857
13.107.213.62,443,192.168.1.15,59788,0.013138,2,121,152.2301720200943827066524585,9209.925407215710153752473740
100.51.38.25,443,192.168.1.15,61145,0.602672,42,17118,69.68964876417022858204794648,28403.50970345395173494039876
100.51.38.25,443,192.168.1.15,61145,0.135704,2,125,14.73795908742557330660850085,921.1224429640983316630313034
192.168.1.15,58263,34.226.101.122,443,0.579683,30,12877,51.75242330722136064021197793,22213.86516423631536546698799
192.168.1.15,58263,34.226.101.122,443,0.171202,2,125,11.68210651744722608380743216,730.1316573404516302379645098
107.21.59.228,443,192.168.1.15,52477,0.613062,29,12009,47.30353536836404800819492971,19588.55711167875353553147969
107.21.59.228,443,192.168.1.15,52477,0.170576,2,125,11.72497889503798893161992308,732.8111809398743082262451928
192.168.1.15,60492,2.23.231.151,443,0.256564,51,66831,198.7808110257089848926583620,260484.7133658658268502206077
192.168.1.15,54936,2.23.231.151,443,0.526915,78,71437,148.0314661757588984940645076,135575.9467845857491246216183
192.168.1.15,63509,35.186.224.26,443,0.211863,11,3603,51.92034475108914723193762007,17006.27292165219977060647683
192.168.1.15,58729,3.230.208.5,443,0.577904,27,11238,46.72056258478916913535812176,19446.13638251335862011683601
